Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12712.0,34,4,1035.43,0,Regular Customers
12714.0,17,1,968.3,0,Regular Customers
12720.0,26,4,1105.33,0,Regular Customers
12721.0,26,2,741.62,0,Regular Customers
12724.0,54,1,154.9,1,At-Risk Customers
12725.0,93,1,427.8,1,At-Risk Customers
12726.0,38,2,571.86,0,Regular Customers
12727.0,4,4,2007.32,0,Regular Customers
12728.0,6,2,453.26,0,Regular Customers
12731.0,35,2,4246.33,0,Regular Customers
12734.0,74,1,110.4,1,At-Risk Customers
12735.0,37,2,779.5699999999999,0,Regular Customers
12736.0,55,1,234.0,1,At-Risk Customers
12738.0,94,1,155.35,1,At-Risk Customers
12744.0,40,1,2053.07,0,Regular Customers
12747.0,5,4,1320.09,0,Regular Customers
12748.0,6,44,4983.71,2,Loyal High-Value Customers
12753.0,4,3,9341.13,0,Regular Customers
12754.0,31,1,45.57,0,Regular Customers
12755.0,2,2,3811.95,0,Regular Customers
12763.0,91,1,320.08,1,At-Risk Customers
12764.0,39,1,1693.88,0,Regular Customers
12766.0,14,3,2809.42,0,Regular Customers
12775.0,33,1,214.45,0,Regular Customers
12778.0,34,1,134.48,0,Regular Customers
12779.0,30,3,1198.58,0,Regular Customers
12781.0,7,1,549.26,0,Regular Customers
12782.0,40,2,1147.43,0,Regular Customers
12785.0,86,1,311.95,1,At-Risk Customers
12791.0,96,1,192.6,1,At-Risk Customers
12793.0,57,2,545.48,1,At-Risk Customers
12797.0,88,1,254.03,1,At-Risk Customers
12808.0,91,1,129.4,1,At-Risk Customers
12811.0,6,1,240.25,0,Regular Customers
12817.0,3,1,166.04,0,Regular Customers
12820.0,48,1,170.46,1,At-Risk Customers
12823.0,11,2,535.5,0,Regular Customers
12826.0,39,3,697.1,0,Regular Customers
12829.0,59,2,293.0,1,At-Risk Customers
12834.0,5,1,312.38,0,Regular Customers
12836.0,34,1,846.69,0,Regular Customers
12838.0,96,1,390.79,1,At-Risk Customers
12839.0,10,3,1089.01,0,Regular Customers
12841.0,10,8,1393.07,0,Regular Customers
12842.0,30,1,310.73,0,Regular Customers
12845.0,12,1,65.09,0,Regular Customers
12852.0,17,1,311.55,0,Regular Customers
12853.0,38,1,427.4,0,Regular Customers
12854.0,40,1,389.9,0,Regular Customers
12855.0,95,1,38.1,1,At-Risk Customers
12857.0,24,1,801.6,0,Regular Customers
12866.0,5,1,559.12,0,Regular Customers
12867.0,20,2,786.95,0,Regular Customers
12868.0,38,3,673.21,0,Regular Customers
12872.0,49,2,599.97,0,Regular Customers
12873.0,4,1,374.0,0,Regular Customers
12875.0,85,1,293.76000000000005,1,At-Risk Customers
12877.0,10,3,329.46000000000004,0,Regular Customers
12891.0,15,1,42.0,0,Regular Customers
12897.0,24,1,128.8,0,Regular Customers
12908.0,34,1,318.0,0,Regular Customers
12913.0,5,3,866.39,0,Regular Customers
12915.0,94,1,199.65,1,At-Risk Customers
12916.0,43,1,807.05,0,Regular Customers
12921.0,6,7,3173.38,0,Regular Customers
12924.0,50,1,58.190000000000005,1,At-Risk Customers
12928.0,81,1,392.34,1,At-Risk Customers
12929.0,34,1,117.85,0,Regular Customers
12931.0,20,3,1873.4,0,Regular Customers
12933.0,6,1,110.75,0,Regular Customers
12935.0,41,1,431.63,0,Regular Customers
12939.0,21,2,5309.28,0,Regular Customers
12942.0,88,1,258.75,1,At-Risk Customers
12944.0,77,1,286.95,1,At-Risk Customers
12945.0,10,1,462.95,0,Regular Customers
12947.0,59,2,605.7,1,At-Risk Customers
12951.0,42,2,306.09000000000003,0,Regular Customers
12956.0,28,1,108.07,0,Regular Customers
12957.0,62,1,413.68,1,At-Risk Customers
12963.0,88,1,365.8,1,At-Risk Customers
12967.0,80,2,1660.9,1,At-Risk Customers
12970.0,44,2,23.8,0,Regular Customers
12971.0,6,18,1837.37,2,Loyal High-Value Customers
12980.0,4,5,3673.74,0,Regular Customers
12988.0,14,1,505.82,0,Regular Customers
12989.0,20,3,1914.1,0,Regular Customers
12990.0,32,1,97.5,0,Regular Customers
12993.0,20,1,102.9,0,Regular Customers
12997.0,39,1,305.55,0,Regular Customers
13000.0,87,1,201.75,1,At-Risk Customers
13001.0,9,4,3468.79,0,Regular Customers
13002.0,40,1,120.95,0,Regular Customers
13004.0,7,5,1592.04,0,Regular Customers
13008.0,45,1,229.47,0,Regular Customers
13011.0,94,1,50.55,1,At-Risk Customers
13012.0,17,1,377.27,0,Regular Customers
13013.0,93,2,1528.34,1,At-Risk Customers
13014.0,3,1,515.38,0,Regular Customers
13018.0,10,2,642.45,0,Regular Customers
13021.0,81,1,157.35000000000002,1,At-Risk Customers
13027.0,76,1,1440.0,1,At-Risk Customers
13029.0,75,1,382.5,1,At-Risk Customers
13030.0,90,1,402.36,1,At-Risk Customers
13033.0,79,1,190.55,1,At-Risk Customers
13034.0,91,1,165.86,1,At-Risk Customers
13038.0,13,1,395.1,0,Regular Customers
13044.0,13,1,560.47,0,Regular Customers
13047.0,31,4,825.53,0,Regular Customers
13048.0,49,1,477.61,1,At-Risk Customers
13049.0,40,1,153.78,0,Regular Customers
13050.0,26,7,2129.53,0,Regular Customers
13064.0,49,1,203.3,1,At-Risk Customers
13065.0,95,1,205.86,1,At-Risk Customers
13068.0,42,1,165.0,0,Regular Customers
13069.0,30,6,1240.09,0,Regular Customers
13077.0,12,3,576.19,0,Regular Customers
13078.0,18,5,1994.31,0,Regular Customers
13081.0,10,5,7467.61,0,Regular Customers
13082.0,60,1,379.44,1,At-Risk Customers
13085.0,17,1,278.1,0,Regular Customers
13089.0,12,24,15557.62,2,Loyal High-Value Customers
13090.0,11,5,1796.2,0,Regular Customers
13092.0,81,1,185.45,1,At-Risk Customers
13093.0,9,7,7527.97,0,Regular Customers
13094.0,5,5,528.96,0,Regular Customers
13097.0,14,3,1663.2,0,Regular Customers
13098.0,27,2,893.6,0,Regular Customers
13102.0,30,7,1881.8,0,Regular Customers
13104.0,77,1,101.76,1,At-Risk Customers
13107.0,55,1,566.84,1,At-Risk Customers
13108.0,95,1,350.06,1,At-Risk Customers
13110.0,5,2,540.15,0,Regular Customers
13113.0,2,6,2838.74,0,Regular Customers
13117.0,41,3,499.93,0,Regular Customers
13118.0,10,1,190.93,0,Regular Customers
13124.0,81,1,1256.32,1,At-Risk Customers
13126.0,61,3,547.31,1,At-Risk Customers
13133.0,26,1,52.35,0,Regular Customers
13137.0,31,1,206.63,0,Regular Customers
13138.0,94,1,193.23,1,At-Risk Customers
13140.0,88,1,158.26,1,At-Risk Customers
13141.0,37,2,524.57,0,Regular Customers
13144.0,55,1,110.95,1,At-Risk Customers
13145.0,94,1,295.0,1,At-Risk Customers
13148.0,35,4,1068.71,0,Regular Customers
13149.0,11,1,376.74,0,Regular Customers
13151.0,17,1,1257.87,0,Regular Customers
13155.0,49,2,569.2,0,Regular Customers
13157.0,20,1,197.82,0,Regular Customers
13158.0,41,1,256.41,0,Regular Customers
13161.0,35,1,112.75,0,Regular Customers
13162.0,57,1,753.26,1,At-Risk Customers
13165.0,73,1,354.64,1,At-Risk Customers
13166.0,5,1,417.2,0,Regular Customers
13168.0,14,2,821.63,0,Regular Customers
13171.0,21,1,140.35,0,Regular Customers
13173.0,89,1,165.94,1,At-Risk Customers
13174.0,38,2,2034.06,0,Regular Customers
13178.0,17,2,1124.0,0,Regular Customers
13183.0,57,1,625.04,1,At-Risk Customers
13184.0,12,1,212.52,0,Regular Customers
13187.0,59,1,236.02,1,At-Risk Customers
13198.0,40,2,1184.74,0,Regular Customers
13199.0,3,9,1948.96,0,Regular Customers
13208.0,31,1,168.45,0,Regular Customers
13209.0,48,2,430.2,0,Regular Customers
13211.0,83,1,110.7,1,At-Risk Customers
13221.0,81,1,498.16,1,At-Risk Customers
13225.0,60,2,2470.44,1,At-Risk Customers
13230.0,4,5,786.05,0,Regular Customers
13233.0,58,1,304.24,1,At-Risk Customers
13238.0,82,1,91.15,1,At-Risk Customers
13240.0,87,1,224.07,1,At-Risk Customers
13246.0,15,3,1063.16,0,Regular Customers
13253.0,61,1,476.48,1,At-Risk Customers
13255.0,96,1,225.7,1,At-Risk Customers
13261.0,8,1,845.1,0,Regular Customers
13263.0,47,1,141.66,0,Regular Customers
13267.0,54,3,933.97,1,At-Risk Customers
13269.0,83,2,662.1700000000001,1,At-Risk Customers
13270.0,88,1,590.0,1,At-Risk Customers
13280.0,38,2,682.96,0,Regular Customers
13284.0,53,1,201.19,1,At-Risk Customers
13285.0,12,1,666.89,0,Regular Customers
13292.0,6,1,249.57,0,Regular Customers
13295.0,82,1,201.2,1,At-Risk Customers
13301.0,14,1,173.91,0,Regular Customers
13304.0,73,1,300.42,1,At-Risk Customers
13305.0,18,2,288.9,0,Regular Customers
13309.0,30,1,390.71,0,Regular Customers
13310.0,46,1,410.18,0,Regular Customers
13313.0,62,1,307.3,1,At-Risk Customers
13317.0,81,2,238.05,1,At-Risk Customers
13319.0,26,7,2769.04,0,Regular Customers
13324.0,35,2,1110.6,0,Regular Customers
13327.0,18,3,947.9,0,Regular Customers
13328.0,38,1,1308.48,0,Regular Customers
13329.0,89,1,304.2,1,At-Risk Customers
13330.0,38,1,335.82,0,Regular Customers
13334.0,28,1,1637.19,0,Regular Customers
13345.0,10,1,389.5,0,Regular Customers
13362.0,10,1,812.7,0,Regular Customers
13368.0,59,1,35.400000000000006,1,At-Risk Customers
13369.0,88,1,308.28000000000003,1,At-Risk Customers
13370.0,94,1,754.87,1,At-Risk Customers
13381.0,21,1,416.11,0,Regular Customers
13382.0,3,1,222.99,0,Regular Customers
13385.0,52,1,534.57,1,At-Risk Customers
13394.0,32,1,313.76,0,Regular Customers
13396.0,41,1,387.27,0,Regular Customers
13397.0,17,2,601.77,0,Regular Customers
13402.0,94,1,308.28000000000003,1,At-Risk Customers
13405.0,40,1,160.05,0,Regular Customers
13408.0,20,9,5664.92,0,Regular Customers
13410.0,13,1,250.24,0,Regular Customers
13414.0,19,1,390.0,0,Regular Customers
13418.0,81,5,1579.62,1,At-Risk Customers
13421.0,12,1,825.04,0,Regular Customers
13425.0,17,1,401.57,0,Regular Customers
13426.0,59,2,639.4300000000001,1,At-Risk Customers
13448.0,86,3,829.5400000000001,1,At-Risk Customers
13451.0,56,1,359.19,1,At-Risk Customers
13453.0,12,1,185.0,0,Regular Customers
13455.0,88,1,692.94,1,At-Risk Customers
13458.0,10,4,4170.82,0,Regular Customers
13468.0,10,9,1609.5,0,Regular Customers
13473.0,55,1,241.26,1,At-Risk Customers
13475.0,20,1,317.12,0,Regular Customers
13476.0,3,1,727.6,0,Regular Customers
13477.0,13,1,185.4,0,Regular Customers
13487.0,75,1,193.15,1,At-Risk Customers
13488.0,31,3,3395.76,0,Regular Customers
13489.0,11,2,235.68,0,Regular Customers
13491.0,2,6,803.91,0,Regular Customers
13493.0,9,1,179.35,0,Regular Customers
13494.0,34,1,316.26000000000005,0,Regular Customers
13495.0,82,2,865.4300000000001,1,At-Risk Customers
13496.0,82,1,501.01,1,At-Risk Customers
13497.0,5,2,348.05,0,Regular Customers
13501.0,10,1,1340.32,0,Regular Customers
13502.0,46,1,114.6,0,Regular Customers
13506.0,38,2,458.52,0,Regular Customers
13509.0,6,1,209.32,0,Regular Customers
13520.0,47,2,988.52,0,Regular Customers
13523.0,88,1,566.95,1,At-Risk Customers
13527.0,49,1,110.45,1,At-Risk Customers
13531.0,88,1,305.45,1,At-Risk Customers
13534.0,27,8,1029.75,0,Regular Customers
13538.0,38,1,166.8,0,Regular Customers
13539.0,31,1,164.1,0,Regular Customers
13551.0,41,1,91.8,0,Regular Customers
13552.0,38,1,313.70000000000005,0,Regular Customers
13557.0,3,1,240.68,0,Regular Customers
13564.0,76,2,1174.03,1,At-Risk Customers
13565.0,56,1,110.18,1,At-Risk Customers
13569.0,89,1,109.82,1,At-Risk Customers
13576.0,13,4,1687.04,0,Regular Customers
13579.0,91,1,164.70000000000002,1,At-Risk Customers
13581.0,31,1,118.0,0,Regular Customers
13584.0,28,1,142.4,0,Regular Customers
13590.0,25,1,309.06,0,Regular Customers
13593.0,58,1,559.85,1,At-Risk Customers
13599.0,5,4,1302.55,0,Regular Customers
13600.0,34,1,219.52,0,Regular Customers
13606.0,34,1,70.02,0,Regular Customers
13610.0,7,1,234.12,0,Regular Customers
13611.0,82,1,303.15000000000003,1,At-Risk Customers
13614.0,52,1,205.75,1,At-Risk Customers
13615.0,41,1,417.69,0,Regular Customers
13623.0,19,1,156.0,0,Regular Customers
13627.0,80,1,311.19,1,At-Risk Customers
13629.0,33,2,1425.0,0,Regular Customers
13630.0,7,1,299.14,0,Regular Customers
13634.0,49,1,334.2,1,At-Risk Customers
13636.0,7,1,154.5,0,Regular Customers
13649.0,88,1,197.8,1,At-Risk Customers
13652.0,91,1,308.8,1,At-Risk Customers
13656.0,59,1,162.70000000000002,1,At-Risk Customers
13659.0,43,1,1035.2,0,Regular Customers
13666.0,9,2,64.05,0,Regular Customers
13668.0,17,4,1749.0800000000002,0,Regular Customers
13672.0,23,2,186.39,0,Regular Customers
13675.0,7,1,308.44,0,Regular Customers
13680.0,60,2,2391.59,1,At-Risk Customers
13684.0,8,1,65.13,0,Regular Customers
13694.0,3,11,14317.5,2,Loyal High-Value Customers
13700.0,49,2,139.52,0,Regular Customers
13703.0,40,1,99.5,0,Regular Customers
13705.0,96,1,318.14,1,At-Risk Customers
13706.0,25,1,330.79,0,Regular Customers
13707.0,37,1,583.41,0,Regular Customers
13709.0,37,1,454.3,0,Regular Customers
13715.0,3,5,1077.39,0,Regular Customers
13717.0,20,1,298.05,0,Regular Customers
13718.0,18,1,114.05,0,Regular Customers
13722.0,5,1,1463.47,0,Regular Customers
13725.0,10,4,1451.93,0,Regular Customers
13728.0,33,1,158.57999999999998,0,Regular Customers
13742.0,9,3,1155.18,0,Regular Customers
13744.0,14,1,817.3199999999999,0,Regular Customers
13747.0,96,1,79.6,1,At-Risk Customers
13748.0,96,1,204.0,1,At-Risk Customers
13750.0,19,2,688.8000000000001,0,Regular Customers
13751.0,10,1,296.25,0,Regular Customers
13753.0,9,1,741.26,0,Regular Customers
13754.0,39,1,156.0,0,Regular Customers
13756.0,81,3,1004.4,1,At-Risk Customers
13758.0,57,3,1141.25,1,At-Risk Customers
13764.0,59,1,499.89,1,At-Risk Customers
13767.0,7,11,4143.82,2,Loyal High-Value Customers
13769.0,48,2,626.32,0,Regular Customers
13777.0,10,14,8063.16,2,Loyal High-Value Customers
13782.0,50,1,191.94,1,At-Risk Customers
13784.0,4,4,426.39,0,Regular Customers
13786.0,89,1,230.4,1,At-Risk Customers
13787.0,86,1,106.4,1,At-Risk Customers
13792.0,9,1,74.60000000000001,0,Regular Customers
13798.0,9,11,11001.4,2,Loyal High-Value Customers
13799.0,16,1,341.7,0,Regular Customers
13800.0,31,1,558.32,0,Regular Customers
13802.0,34,1,969.74,0,Regular Customers
13804.0,12,1,723.63,0,Regular Customers
13807.0,89,1,112.6,1,At-Risk Customers
13809.0,27,1,155.05,0,Regular Customers
13815.0,41,1,1012.01,0,Regular Customers
13817.0,74,1,128.7,1,At-Risk Customers
13819.0,24,3,1140.35,0,Regular Customers
13824.0,32,1,442.88,0,Regular Customers
13831.0,92,1,408.0,1,At-Risk Customers
13837.0,40,1,109.05,0,Regular Customers
13838.0,92,1,230.66,1,At-Risk Customers
13842.0,31,3,907.53,0,Regular Customers
13846.0,82,1,411.4,1,At-Risk Customers
13848.0,20,2,935.0,0,Regular Customers
13851.0,10,1,246.32,0,Regular Customers
13854.0,11,7,2269.2,0,Regular Customers
13859.0,48,1,201.16,1,At-Risk Customers
13862.0,13,2,678.85,0,Regular Customers
13865.0,12,1,123.3,0,Regular Customers
13869.0,35,2,886.01,0,Regular Customers
13870.0,10,1,544.03,0,Regular Customers
13871.0,31,1,456.05,0,Regular Customers
13873.0,32,1,121.45,0,Regular Customers
13874.0,80,1,540.45,1,At-Risk Customers
13875.0,23,1,340.65,0,Regular Customers
13880.0,6,3,508.1,0,Regular Customers
13881.0,34,1,1025.34,0,Regular Customers
13884.0,5,1,138.15,0,Regular Customers
13890.0,81,1,190.35,1,At-Risk Customers
13893.0,20,1,821.1,0,Regular Customers
13894.0,32,1,160.85,0,Regular Customers
13898.0,48,1,155.93,1,At-Risk Customers
13901.0,41,1,214.4,0,Regular Customers
13904.0,17,1,201.12,0,Regular Customers
13911.0,20,2,559.27,0,Regular Customers
13922.0,74,1,172.25,1,At-Risk Customers
13929.0,48,1,412.85,1,At-Risk Customers
13931.0,3,1,378.21,0,Regular Customers
13932.0,17,1,307.4,0,Regular Customers
13939.0,34,1,184.5,0,Regular Customers
13941.0,20,2,2118.96,0,Regular Customers
13948.0,83,1,102.0,1,At-Risk Customers
13951.0,16,1,212.56,0,Regular Customers
13953.0,75,1,500.0,1,At-Risk Customers
13955.0,27,1,205.1,0,Regular Customers
13959.0,3,2,337.44,0,Regular Customers
13963.0,30,4,664.54,0,Regular Customers
13969.0,44,2,662.83,0,Regular Customers
13971.0,7,1,333.48,0,Regular Customers
13973.0,9,1,264.7,0,Regular Customers
13982.0,48,2,903.8,0,Regular Customers
13983.0,27,4,949.94,0,Regular Customers
13984.0,47,2,284.75,0,Regular Customers
13993.0,11,2,822.85,0,Regular Customers
13999.0,44,2,609.7,0,Regular Customers
14001.0,95,1,301.24,1,At-Risk Customers
14004.0,11,1,900.02,0,Regular Customers
14006.0,34,1,304.44,0,Regular Customers
14016.0,79,1,753.74,1,At-Risk Customers
14030.0,27,3,983.73,0,Regular Customers
14031.0,2,6,4526.59,0,Regular Customers
14032.0,78,2,619.42,1,At-Risk Customers
14035.0,19,1,301.6,0,Regular Customers
14036.0,7,1,626.65,0,Regular Customers
14037.0,87,1,111.8,1,At-Risk Customers
14040.0,36,3,914.05,0,Regular Customers
14044.0,32,1,170.44,0,Regular Customers
14045.0,60,3,1251.75,1,At-Risk Customers
14046.0,6,1,154.99,0,Regular Customers
14047.0,59,2,296.22,1,At-Risk Customers
14048.0,27,1,409.93,0,Regular Customers
14049.0,40,1,1028.08,0,Regular Customers
14051.0,9,6,3126.36,0,Regular Customers
14056.0,6,1,582.37,0,Regular Customers
14057.0,2,5,1936.73,0,Regular Customers
14060.0,13,6,1931.46,0,Regular Customers
14062.0,45,4,3096.39,0,Regular Customers
14068.0,42,1,265.85,0,Regular Customers
14078.0,6,2,306.29,0,Regular Customers
14081.0,24,2,921.62,0,Regular Customers
14082.0,87,1,182.25,1,At-Risk Customers
14083.0,76,3,444.36,1,At-Risk Customers
14085.0,31,6,1960.66,0,Regular Customers
14088.0,44,1,7544.91,0,Regular Customers
14090.0,47,1,76.32000000000001,0,Regular Customers
14092.0,44,3,920.23,0,Regular Customers
14099.0,17,3,818.73,0,Regular Customers
14101.0,16,2,1844.03,0,Regular Customers
14107.0,18,2,621.09,0,Regular Customers
14113.0,77,1,433.5,1,At-Risk Customers
14114.0,53,1,195.13,1,At-Risk Customers
14127.0,32,1,314.63,0,Regular Customers
14130.0,41,1,480.91,0,Regular Customers
14133.0,38,1,318.0,0,Regular Customers
14135.0,49,7,1811.91,0,Regular Customers
14142.0,95,1,311.81,1,At-Risk Customers
14146.0,79,1,1241.43,1,At-Risk Customers
14147.0,8,1,182.8,0,Regular Customers
14150.0,82,1,306.18,1,At-Risk Customers
14156.0,5,8,28278.4,2,Loyal High-Value Customers
14157.0,7,1,269.18,0,Regular Customers
14159.0,85,1,189.92,1,At-Risk Customers
14161.0,91,1,283.15,1,At-Risk Customers
14162.0,14,1,177.68,0,Regular Customers
14167.0,53,1,148.35,1,At-Risk Customers
14175.0,51,1,322.58,1,At-Risk Customers
14176.0,19,4,576.9000000000001,0,Regular Customers
14180.0,5,10,2235.62,0,Regular Customers
14185.0,53,1,197.65,1,At-Risk Customers
14188.0,32,1,398.0,0,Regular Customers
14189.0,10,4,1165.49,0,Regular Customers
14194.0,30,1,516.95,0,Regular Customers
14201.0,81,1,67.24000000000001,1,At-Risk Customers
14209.0,54,1,347.95,1,At-Risk Customers
14210.0,18,3,977.39,0,Regular Customers
14211.0,7,2,465.1,0,Regular Customers
14215.0,37,3,922.11,0,Regular Customers
14217.0,33,4,378.8,0,Regular Customers
14220.0,80,1,312.98,1,At-Risk Customers
14221.0,61,1,312.95,1,At-Risk Customers
14224.0,42,1,244.3,0,Regular Customers
14227.0,6,1,736.7,0,Regular Customers
14229.0,14,2,762.13,0,Regular Customers
14231.0,11,1,308.95,0,Regular Customers
14233.0,33,2,630.95,0,Regular Customers
14236.0,94,1,189.3,1,At-Risk Customers
14237.0,95,1,161.0,1,At-Risk Customers
14238.0,48,1,146.85,1,At-Risk Customers
14239.0,4,3,795.48,0,Regular Customers
14242.0,48,1,138.35,1,At-Risk Customers
14243.0,11,4,1139.8,0,Regular Customers
14248.0,40,1,302.58,0,Regular Customers
14256.0,87,1,523.86,1,At-Risk Customers
14257.0,41,1,620.14,0,Regular Customers
14258.0,21,2,4286.18,0,Regular Customers
14270.0,54,1,492.65,1,At-Risk Customers
14276.0,12,1,341.2,0,Regular Customers
14282.0,89,1,571.0,1,At-Risk Customers
14289.0,11,1,322.24,0,Regular Customers
14290.0,84,1,777.5600000000001,1,At-Risk Customers
14292.0,5,1,463.0,0,Regular Customers
14293.0,27,2,508.02,0,Regular Customers
14298.0,10,14,11823.9,2,Loyal High-Value Customers
14299.0,40,4,1565.94,0,Regular Customers
14307.0,46,2,1270.56,0,Regular Customers
14309.0,18,3,588.39,0,Regular Customers
14312.0,32,2,436.37,0,Regular Customers
14320.0,55,1,352.51,1,At-Risk Customers
14321.0,56,1,326.82,1,At-Risk Customers
14329.0,51,1,1547.58,1,At-Risk Customers
14334.0,42,2,672.57,0,Regular Customers
14341.0,40,2,335.63,0,Regular Customers
14344.0,80,3,355.65000000000003,1,At-Risk Customers
14346.0,19,1,262.44,0,Regular Customers
14355.0,88,1,174.4,1,At-Risk Customers
14368.0,42,1,155.0,0,Regular Customers
14371.0,17,1,100.5,0,Regular Customers
